Vdm, Vout
-0.0034034034034033933,4.45
-0.0030030030030030186,4.46
-0.002602602602602616,4.47
-0.0022022022022022136,4.48
-0.0018018018018018112,4.48
-0.0014014014014014087,4.485
-0.0010010010010010062,4.495
-0.0006006006006006037,4.505
-0.00020020020020020124,4.51
0.00020020020020020124,4.51
0.0006006006006006037,4.515
0.0010010010010010062,4.525
0.0014014014014014087,4.53
0.0018018018018018112,4.535
0.0022022022022022136,4.535
0.0026026026026025884,4.54
0.003003003003002991,4.545
0.0034034034034033933,4.55
0.003803803803803796,4.555
0.004204204204204198,4.555
0.004604604604604601,4.555
0.005005005005005003,4.565
0.005405405405405406,4.57
0.005805805805805808,4.57
0.006206206206206211,4.57
0.006606606606606613,4.575
0.007007007007007016,4.58
0.007407407407407418,4.585
0.007807807807807793,4.59
0.008208208208208195,4.59
0.008608608608608598,4.59
0.009009009009009,4.595
0.009409409409409403,4.6
0.009809809809809805,4.605
0.010210210210210208,4.605
0.01061061061061061,4.605
0.011011011011011013,4.61
0.011411411411411415,4.61
0.011811811811811818,4.615
0.01221221221221222,4.615
0.012612612612612623,4.62
0.013013013013013025,4.62
0.0134134134134134,4.625
0.013813813813813802,4.625
0.014214214214214205,4.625
0.014614614614614607,4.63
0.01501501501501501,4.63
0.015415415415415412,4.635
0.015815815815815815,4.635
0.016216216216216217,4.64
0.01661661661661662,4.64
0.017017017017017022,4.645
0.017417417417417425,4.645
0.017817817817817827,4.65
0.01821821821821823,4.65
0.018618618618618604,4.65
0.019019019019019007,4.655
0.01941941941941941,4.655
0.01981981981981981,4.66
0.020220220220220214,4.66
0.020620620620620617,4.66
0.02102102102102102,4.665
0.02142142142142142,4.665
0.021821821821821824,4.67
0.022222222222222227,4.67
0.02262262262262263,4.67
0.02302302302302303,4.67
0.023423423423423434,4.675
0.023823823823823836,4.675
0.02422422422422421,4.675
0.024624624624624614,4.68
0.025025025025025016,4.68
0.02542542542542542,4.685
0.02582582582582582,4.685
0.026226226226226224,4.685
0.026626626626626626,4.685
0.02702702702702703,4.69
0.02742742742742743,4.69
0.027827827827827833,4.69
